,strategy,long_leg,short_leg
2020-01-12,-0.015622613304721623,0.0019509155670496435,0.017573528871771268
2020-01-17,-0.008988658701072232,-0.004065749890568895,0.004922908810503337
2020-01-22,-0.006364138052084521,-0.013887290922602082,-0.007523152870517561
2020-01-27,0.006413734294032813,0.007067274412404831,0.0006535401183720181
2020-02-01,0.0014290236429863636,0.022054066123275474,0.02062504248028911
2020-02-06,-0.002141187123141533,-0.0007873215662596864,0.0013538655568818467
2020-02-11,0.0024747444109541445,0.006220035034971339,0.0037452906240171943
2020-02-16,0.004474547932033394,0.003547523132395692,-0.0009270247996377018
2020-02-21,0.01493792987495448,-0.035655435898780174,-0.050593365773734654
2020-02-26,0.0015650317093768573,-0.056927322094149274,-0.05849235380352613
2020-03-02,-0.010051662665034572,-0.041249293601980375,-0.031197630936945803
2020-03-07,0.01930783752078269,0.00039542767861037303,-0.018912409842172316
2020-03-12,0.060824561615189135,0.007048573649040643,-0.05377598796614849
2020-03-17,-0.02420345702599649,-0.036318209183347175,-0.012114752157350684
2020-03-22,-0.03322870780225978,0.15091947323915123,0.184148181041411
2020-03-27,-0.00238568916874405,-0.04688611751581725,-0.0445004283470732
2020-04-01,-0.001758366425063277,-0.024921337141756414,-0.023162970716693137
2020-04-06,-0.009166067251260276,0.040854391568601586,0.05002045881986186
2020-04-11,-0.0009443667150926295,0.017011261500673797,0.017955628215766427
2020-04-16,-0.018051229228972343,0.024266719447054656,0.042317948676027
2020-04-21,0.0012807777588220827,-0.00507442114127807,-0.006355198900100153
2020-04-26,-0.010122302684966514,-0.00019955963215217455,0.00992274305281434
2020-05-01,0.013707313907148896,-0.01830292995808449,-0.032010243865233386
2020-05-06,0.016625665113710004,0.02493877474780456,0.008313109634094555
2020-05-11,0.01772424790032059,-0.020023233690588418,-0.03774748159090901
2020-05-16,-0.008721644499393543,0.0018881107657385977,0.01060975526513214
